Giglio,
Boulos,0.0
Nysten,1.0
Hakkarainen,1.0
Burke,
Andrew,
Nicholls,
Navratil,1.0
Byles,
Bateman,
Pears,1.0
Meo,
Billiard,0.0
Olsen,0.0
Gilnagh,1.0
Corn,
Smiljanic,
Sage,0.0
Cribb,0.0
Watt,0.5
Bengtsson,
Calic,
Goldsmith,1.0
Chibnall,1.0
Baumann,
Ling,
hoef,
Sivola,
Smith,0.5
Klasen,0.0
Lefebre,0.0
Isham,0.0
Hale,
Leonard,
Pernot,
Becker,0.5
Heilmann,0.5
Rood,
Brien,1.0
Romaine,
Bourke,0.0
Turcin,
Pinsky,1.0
Carbines,
Jensen,1.0
Brown,0.6
Lurette,1.0
Mernagh,
Madigan,1.0
Yrois,0.0
Walle,
Johanson,
Youseff,
Cohen,
Strom,0.0
Albimona,
Carr,0.5
Blank,
Ali,
Cameron,1.0
Perkin,
Givard,
Kiernan,
Newell,1.0
Honkanen,1.0
Jacobsohn,1.0
Bazzani,1.0
Sunderland,
Bracken,
Green,
Nenkoff,
Hoyt,1.0
Berglund,
Mellors,
Lovell,
Fahlstrom,
Larsson,
Sjostedt,
Leyson,
Harknett,0.0
Hold,0.0
Collyer,1.0
Pengelly,
Hunt,
Murphy,0.6666666666666666
Coleridge,
Maenpaa,
Minahan,0.5
Lindahl,0.0
Hamalainen,1.0
Beckwith,1.0
Carter,0.75
Reed,
Stead,
Lobb,0.0
Rosblom,0.0
Touma,0.3333333333333333
Thorne,1.0
Cherry,1.0
Ward,1.0
Parrish,1.0
Taussig,1.0
Harrison,
Henry,0.0
Reeves,
Persson,
Graham,1.0
Bissette,1.0
Cairns,
Tornquist,
Mellinger,1.0
Natsch,
Healy,1.0
Andrews,1.0
Lindblom,0.0
Parkes,
Abbott,0.5
Duane,
Olsson,0.0
Pelsmaeker,
Dorking,
Stankovic,
Mulder,
Naidenoff,
Hosono,
Connolly,0.5
Barber,1.0
Bishop,1.0
Levy,
Haas,0.0
Mineff,
Lewy,
Hanna,
Allison,0.3333333333333333
Saalfeld,
Kelly,1.0
McCoy,0.5
Keane,1.0
Fleming,0.5
Castellana,1.0
Abelson,1.0
Francatelli,1.0
Hays,1.0
Ryerson,0.5
Lahtinen,0.0
Hendekovic,
Hart,1.0
Nilsson,0.5
Moraweck,
Wick,1.0
Spedden,0.5
Dennis,
Danoff,
Slayter,1.0
Young,1.0
Nysveen,
Ball,1.0
Hippach,1.0
Partner,
Frauenthal,1.0
Denkoff,
Burns,0.5
Dahl,
Blackwell,
Collander,
Sedgwick,
Fox,
Davison,1.0
Coutts,0.6666666666666666
Dimic,
Odahl,
Lambert,
Elias,
Yousif,
Steen,
Bowerman,1.0
Funk,0.0
McGovern,1.0
Mockler,1.0
Carlo,0.0
Barbara,0.0
Asim,
Adahl,
Warren,1.0
Moussa,1.0
Jermyn,1.0
Aubart,1.0
Harder,0.0
Wiklund,
Beavan,
Ringhini,
Landergren,1.0
Widener,0.0
Betros,0.0
Bidois,1.0
Nakid,0.5
Tikkanen,
Plotcharsky,
Davies,0.5
Buss,1.0
Sadlier,
Lehmann,1.0
Jansson,
McKane,
Pain,
Trout,1.0
Niskanen,
Adams,
Oreskovic,0.0
Gale,
Widegren,
Richards,1.0
Birkeland,
Sdycoff,
Cunningham,
Sundman,
Meek,0.0
Drew,0.5
Silven,1.0
Matthews,
Impe,0.0
Gheorgheff,
Charters,
Zimmerman,
Danbom,0.0
Wiseman,
Clarke,1.0
Phillips,0.5
Flynn,
Pickard,
Steffansson,
Thorneycroft,1.0
Louch,1.0
Kallio,
Silvey,1.0
Kvillner,
Hampe,
Petterson,
Reynaldo,1.0
Bratthammer,
Dodge,0.5
Seward,
Baclini,1.0
Peuchen,
Hagland,
Foreman,
Goldenberg,1.0
Peduzzi,
Jalsevac,
Millet,
Kenyon,1.0
Toomey,1.0
Connor,
Anderson,
Morley,
Gee,
Milling,
Maisner,
Goncalves,
Campbell,
Smart,
Scanlan,
Keefe,
Cacic,0.0
Jerwan,1.0
Strandberg,0.0
Clifford,
Renouf,1.0
Karlsson,
Hirvonen,0.5
Frost,
Rouse,
Turkula,1.0
Kent,
Somerton,
Windelov,
Molson,
Artagaveytia,
Stanley,1.0
Yousseff,
Eustis,1.0
Shellard,
Svensson,
Canavan,0.0
Sullivan,0.0
Laitinen,0.0
Maioni,1.0
Quick,0.6666666666666666
Bradley,0.0
Lang,
Daly,0.0
McGough,
Rothschild,1.0
Coleff,
Walker,
Lemore,1.0
Ryan,
Angle,1.0
Pavlovic,
Perreault,1.0
Vovk,
Lahoud,
Kassem,
Farrell,
Ridsdale,1.0
Farthing,
Salonen,
Hocking,0.5
Toufik,
Butt,
LeRoy,1.0
Risien,0.0
Frolicher,1.0
Crosby,0.5
Beane,1.0
Douglas,0.0
Nicholson,
Manent,
Thayer,1.0
Sharp,
Leeni,
Ohman,1.0
Wright,0.0
Gordon,1.0
Robbins,
Messemaeker,1.0
Morrow,
Sivic,
Norman,
Simmons,
Meanwell,0.0
Stoytcheff,
Doharr,
Jonsson,
Appleton,1.0
Rush,
Patchett,
Garside,1.0
Caram,0.0
Christy,0.5
Downton,
Ross,
Paulner,
Jarvis,
Stehli,0.0
Gilinski,
Murdlin,
Rintamaki,
Stephenson,1.0
Elsbury,
Chapman,0.0
Leitch,1.0
Slabenoff,
Harrington,
Torber,
Homer,
Lindell,0.0
Karaic,
Daniel,
Shutes,1.0
Jardin,
Horgan,
Brocklebank,
Herman,0.6666666666666666
Gavey,
Yasbeck,1.0
Kimball,0.0
Hansen,0.0
Bowen,0.0
Sutton,
Kirkland,
Longley,1.0
Bostandyeff,
Connell,
Barkworth,
Lundahl,
Maeglin,
Parr,
Davis,1.0
Leinonen,
Sagesser,1.0
Foo,
Cor,
Blumer,
Willey,
Mitkoff,
Kalvik,
Leary,1.0
Hegarty,0.0
Radeff,
Eitemiller,
Badt,
Colley,
Lindqvist,
Butler,
Rommetvedt,
Cook,0.0
Taylor,1.0
Davidson,0.0
Mitchell,
Wilhelms,
Watson,
Edvardsson,
Sawyer,
Turja,1.0
Cardeza,0.0
Peters,0.0
Hassab,
Olsvigen,
Dakic,
Fischer,
Madill,1.0
Dick,1.0
Karun,1.0
Lam,
Saad,
Weir,
Mullens,1.0
Humblen,
Astor,1.0
Silverthorne,
Gallagher,
Calderhead,
Cleaver,1.0
Mayne,1.0
Klaber,
Greenberg,
Soholt,
Endres,1.0
Troutt,1.0
McEvoy,
Gillespie,
Hodges,
Chambers,1.0
Mannion,1.0
Bryhl,0.0
Ilmakangas,0.0
Hassan,
Knight,
Berriman,
Troupiansky,
Lesurer,
Ivanoff,
Nankoff,
Hawksford,
Cavendish,0.0
McNamee,0.0
Stranden,
Sinkkonen,1.0
Marvin,0.0
Connaghton,
Wells,0.3333333333333333
Moor,1.0
Velde,
Jonkoff,
Carlsson,
Bailey,
Theobald,
Rothes,1.0
Garfirth,
Nirva,
Barah,
Eklund,
Hogeboom,1.0
Brewe,
Mangan,0.0
Gronnestad,
Lievens,
Mack,0.0
Myhrman,
Tobin,
Emanuel,1.0
Kilgannon,
Robert,1.0
Ayoub,1.0
Long,
Johnston,0.0
Harmer,
Sjoblom,1.0
Guggenheim,
Gaskell,
Dantcheff,
Otter,
Leader,1.0
Osman,1.0
Shawah,
Ponesell,
Thomas,0.5
Hedman,
Pettersson,0.0
Alexander,
Lester,
Slemen,
Tomlin,
Fry,
Heininen,0.0
Mallet,0.5
Holm,
Lulic,
Reuchlin,
McCormack,
Stone,1.0
Augustsson,
Allum,
Compton,0.5
Pasic,
Sirota,
Chip,
Marechal,
Alhomaki,
Mudd,
Serepeca,1.0
Lemberopolous,
Culumovic,
Abbing,
Markoff,
Lines,0.5
Aks,0.5
Razi,
Giles,
Swift,1.0
Gill,
Bystrom,1.0
More,0.5
Roebling,
Melkebeke,
Balkic,
Cruyssen,
Najib,1.0
Laleff,
Potter,1.0
Shelley,1.0
Markun,
Dahlberg,0.0
Banfield,
Sutehall,
Montvila,
Behr,
Dooley,
