PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Alone,Title
346,1,2,0,24.0,0,0,13.0,0,1,1,0
352,0,1,1,40.0,0,0,35.0,0,1,1,0
357,1,1,0,22.0,0,1,55.0,0,2,0,0
367,1,1,0,60.0,1,0,75.25,1,2,0,0
370,1,1,0,24.0,0,0,69.3,1,1,1,0
371,1,1,1,25.0,1,0,55.4417,1,2,0,0
378,0,1,1,27.0,0,2,211.5,1,3,0,0
391,1,1,1,36.0,1,2,120.0,0,4,0,0
394,1,1,0,23.0,1,0,113.275,1,2,0,0
395,1,3,0,24.0,0,2,16.7,0,3,0,0
413,1,1,0,33.0,1,0,90.0,0,2,0,0
430,1,3,1,32.0,0,0,8.05,0,1,1,0
431,1,1,1,28.0,0,0,26.55,0,1,1,0
435,0,1,1,50.0,1,0,55.9,0,2,0,0
436,1,1,0,14.0,1,2,120.0,0,4,0,0
439,0,1,1,64.0,1,4,263.0,0,6,0,0
446,1,1,1,4.0,0,2,81.8583,0,3,0,1
450,1,1,1,52.0,0,0,30.5,0,1,1,0
453,0,1,1,30.0,0,0,27.75,1,1,1,0
454,1,1,1,49.0,1,0,89.1042,1,2,0,0
457,0,1,1,65.0,0,0,26.55,0,1,1,0
458,1,1,0,40.0,1,0,51.8625,0,2,0,0
461,1,1,1,48.0,0,0,26.55,0,1,1,0
463,0,1,1,47.0,0,0,38.5,0,1,1,0
474,1,2,0,23.0,0,0,13.7917,1,1,1,0
476,0,1,1,40.0,0,0,52.0,0,1,1,0
485,1,1,1,25.0,1,0,91.0792,1,2,0,0
487,1,1,0,35.0,1,0,90.0,0,2,0,0
488,0,1,1,58.0,0,0,29.7,1,1,1,0
493,0,1,1,55.0,0,0,30.5,0,1,1,0
497,1,1,0,54.0,1,0,78.2667,1,2,0,0
499,0,1,0,25.0,1,2,151.55,0,4,0,0
505,1,1,0,16.0,0,0,86.5,0,1,1,0
506,0,1,1,18.0,1,0,108.9,1,2,0,0
513,1,1,1,36.0,0,0,26.2875,0,1,1,0
516,0,1,1,47.0,0,0,34.0208,0,1,1,0
517,1,2,0,34.0,0,0,10.5,0,1,1,0
521,1,1,0,30.0,0,0,93.5,0,1,1,0
524,1,1,0,44.0,0,1,57.9792,1,2,0,0
528,0,1,1,40.0,0,0,221.7792,0,1,1,0
537,0,1,1,45.0,0,0,26.55,0,1,1,0
540,1,1,0,22.0,0,2,49.5,1,3,0,0
541,1,1,0,36.0,0,2,71.0,0,3,0,0
545,0,1,1,50.0,1,0,106.425,1,2,0,0
551,1,1,1,17.0,0,2,110.8833,1,3,0,0
557,1,1,0,48.0,1,0,39.6,1,2,0,0
559,1,1,0,39.0,1,1,79.65,0,3,0,0
572,1,1,0,53.0,2,0,51.4792,0,3,0,0
573,1,1,1,36.0,0,0,26.3875,0,1,1,0
578,1,1,0,39.0,1,0,55.9,0,2,0,0
582,1,1,0,39.0,1,1,110.8833,1,3,0,0
584,0,1,1,36.0,0,0,40.125,1,1,1,0
586,1,1,0,18.0,0,2,79.65,0,3,0,0
588,1,1,1,60.0,1,1,79.2,1,3,0,0
592,1,1,0,52.0,1,0,78.2667,1,2,0,0
600,1,1,1,49.0,1,0,56.9292,1,2,0,0
610,1,1,0,40.0,0,0,153.4625,0,1,1,0
619,1,2,0,4.0,2,1,39.0,0,4,0,0
622,1,1,1,42.0,1,0,52.5542,0,2,0,0
626,0,1,1,61.0,0,0,32.3208,0,1,1,0
628,1,1,0,21.0,0,0,77.9583,0,1,1,0
631,1,1,1,80.0,0,0,30.0,0,1,1,0
633,1,1,1,32.0,0,0,30.5,1,1,1,0
642,1,1,0,24.0,0,0,69.3,1,1,1,0
646,1,1,1,48.0,1,0,76.7292,1,2,0,0
648,1,1,1,56.0,0,0,35.5,1,1,1,0
660,0,1,1,58.0,0,2,113.275,1,3,0,0
663,0,1,1,47.0,0,0,25.5875,0,1,1,0
670,1,1,0,40.0,1,0,52.0,0,2,0,0
672,0,1,1,31.0,1,0,52.0,0,2,0,0
680,1,1,1,36.0,0,1,512.3292,1,2,0,0
682,1,1,1,27.0,0,0,76.7292,1,1,1,0
690,1,1,0,15.0,0,1,211.3375,0,2,0,0
691,1,1,1,31.0,1,0,57.0,0,2,0,0
699,0,1,1,49.0,1,1,110.8833,1,3,0,0
700,0,3,1,42.0,0,0,7.65,0,1,1,0
701,1,1,0,18.0,1,0,227.525,1,2,0,0
702,1,1,1,35.0,0,0,26.2875,0,1,1,0
708,1,1,1,42.0,0,0,26.2875,0,1,1,0
711,1,1,0,24.0,0,0,49.5042,1,1,1,0
712,0,1,1,40.0,0,0,26.55,0,1,1,0
713,1,1,1,48.0,1,0,52.0,0,2,0,0
716,0,3,1,19.0,0,0,7.65,0,1,1,0
717,1,1,0,38.0,0,0,227.525,1,1,1,0
718,1,2,0,27.0,0,0,10.5,0,1,1,0
725,1,1,1,27.0,1,0,53.1,0,2,0,0
731,1,1,0,29.0,0,0,211.3375,0,1,1,0
738,1,1,1,35.0,0,0,512.3292,1,1,1,0
741,1,1,1,40.0,0,0,30.0,0,1,1,0
742,0,1,1,36.0,1,0,78.85,0,2,0,0
743,1,1,0,21.0,2,2,262.375,1,5,0,0
746,0,1,1,70.0,1,1,71.0,0,3,0,0
749,0,1,1,19.0,1,0,53.1,0,2,0,0
752,1,3,1,6.0,0,1,12.475,0,2,0,1
760,1,1,0,33.0,0,0,86.5,0,1,1,0
764,1,1,0,36.0,1,2,120.0,0,4,0,0
766,1,1,0,51.0,1,0,77.9583,0,2,0,0
773,0,2,0,57.0,0,0,10.5,0,1,1,0
777,0,3,1,26.0,0,0,7.75,0,1,1,0
780,1,1,0,43.0,0,1,211.3375,0,2,0,0
782,1,1,0,17.0,1,0,57.0,0,2,0,0
783,0,1,1,29.0,0,0,30.0,0,1,1,0
790,0,1,1,46.0,0,0,79.2,1,1,1,0
797,1,1,0,49.0,0,0,25.9292,0,1,1,0
803,1,1,1,11.0,1,2,120.0,0,4,0,1
807,0,1,1,39.0,0,0,49.5042,0,1,1,0
810,1,1,0,33.0,1,0,53.1,0,2,0,0
816,0,1,1,40.0,0,0,49.5042,0,1,1,0
821,1,1,0,52.0,1,1,93.5,0,3,0,0
824,1,3,0,27.0,0,1,12.475,0,2,0,0
830,1,1,0,62.0,0,0,80.0,0,1,1,0
836,1,1,0,39.0,1,1,83.1583,1,3,0,0
840,1,1,1,40.0,0,0,29.7,1,1,1,0
850,1,1,0,40.0,1,0,89.1042,1,2,0,0
854,1,1,0,16.0,0,1,39.4,0,2,0,0
858,1,1,1,51.0,0,0,26.55,0,1,1,0
863,1,1,0,48.0,0,0,25.9292,0,1,1,0
868,0,1,1,31.0,0,0,50.4958,0,1,1,0
872,1,1,0,47.0,1,1,52.5542,0,3,0,0
873,0,1,1,33.0,0,0,5.0,0,1,1,0
880,1,1,0,56.0,0,1,83.1583,1,2,0,0
888,1,1,0,19.0,0,0,30.0,0,1,1,0
890,1,1,1,26.0,0,0,30.0,1,1,1,0
